date,value,volume,open,close,name
4/14/2021,212.89,4904,213,212.89,SUU
4/15/2021,214,10914,212.89,214,SUU
4/16/2021,214.48,14324,214,214.48,SUU
4/19/2021,212.85,19666,214.48,212.85,SUU
4/20/2021,209.89,34817,212.85,209.89,SUU
4/21/2021,212.69,4165,209.89,212.69,SUU
4/22/2021,211.67,9300,212.69,211.67,SUU
4/23/2021,212.18,5675,211.67,212.18,SUU
4/26/2021,209.78,25305,212.18,209.78,SUU
4/27/2021,209.01,20370,209.78,209.01,SUU
4/28/2021,208.28,8959,209.01,208.28,SUU
4/29/2021,206.78,25161,208.28,206.78,SUU
4/30/2021,207.51,5940,206.78,207.51,SUU
5/3/2021,208,11215,207.51,208,SUU
5/4/2021,208.6,42762,208,208.6,SUU
5/5/2021,208.08,8368,208.6,208.08,SUU
5/6/2021,208.05,18430,208.08,208.05,SUU
5/7/2021,208.59,3486,208.05,208.59,SUU
5/10/2021,213.2,3394,208.59,213.2,SUU
5/11/2021,210.3,43975,213.2,210.3,SUU
5/12/2021,209.5,6717,210.3,209.5,SUU
5/13/2021,210.33,27450,209.5,210.33,SUU
5/14/2021,210.28,4603,210.33,210.28,SUU
5/17/2021,213,1271,210.28,213,SUU
5/18/2021,209.49,30022,213,209.49,SUU
5/19/2021,214,1506,209.49,214,SUU
5/20/2021,209.98,33960,214,209.98,SUU
5/21/2021,209.08,27684,209.98,209.08,SUU
5/24/2021,208.13,31141,209.08,208.13,SUU
5/25/2021,207,7296,208.13,207,SUU
5/27/2021,207,5808,207,207,SUU
5/28/2021,206.63,23891,207,206.63,SUU
5/31/2021,207,12736,206.63,207,SUU
6/2/2021,209.23,2705,207,209.23,SUU
6/3/2021,207.03,10546,209.23,207.03,SUU
6/4/2021,209.33,1741,207.03,209.33,SUU
6/7/2021,211.95,5674,209.33,211.95,SUU
6/8/2021,212.01,3355,211.95,212.01,SUU
6/10/2021,212.99,2155,212.01,212.99,SUU
6/11/2021,212.1,24650,212.99,212.1,SUU
6/14/2021,212.88,14141,212.1,212.88,SUU
6/15/2021,213.5,2209,212.88,213.5,SUU
6/16/2021,213.88,1728,213.5,213.88,SUU
6/17/2021,213,1902,213.88,213,SUU
6/18/2021,214.89,1312,213,214.89,SUU
6/21/2021,213.19,3136,214.89,213.19,SUU
6/22/2021,214.45,10361,213.19,214.45,SUU
6/23/2021,215,678,214.45,215,SUU
6/24/2021,215,11827,215,215,SUU
6/25/2021,220.19,19298,215,220.19,SUU
6/28/2021,236.21,6044,220.19,236.21,SUU
6/29/2021,237.94,7585,236.21,237.94,SUU
6/30/2021,238.98,2397,237.94,238.98,SUU
7/1/2021,238.07,12725,238.98,238.07,SUU
7/2/2021,239,4951,238.07,239,SUU
7/5/2021,233.37,11983,239,233.37,SUU
7/6/2021,235,30,233.37,235,SUU
7/7/2021,235,6060,235,235,SUU
7/8/2021,230,26792,235,230,SUU
7/9/2021,222.43,16804,230,222.43,SUU
7/19/2021,224.76,15792,222.43,224.76,SUU
7/20/2021,227.88,3616,224.76,227.88,SUU
7/21/2021,221.93,3673,227.88,221.93,SUU
7/22/2021,235.27,24101,221.93,235.27,SUU
7/23/2021,233.63,3024,235.27,233.63,SUU
7/24/2021,236,2194,233.63,236,SUU
7/26/2021,238.57,19004,236,238.57,SUU
7/27/2021,240,12690,238.57,240,SUU
7/28/2021,240.5,4743,240,240.5,SUU
7/29/2021,241,4237,240.5,241,SUU
7/30/2021,245,5957,241,245,SUU
8/2/2021,246.35,7384,245,246.35,SUU
8/3/2021,245.82,25400,246.35,245.82,SUU
8/4/2021,279.15,5801,245.82,279.15,SUU
8/5/2021,294.01,26849,279.15,294.01,SUU
8/6/2021,288.69,21185,294.01,288.69,SUU
8/9/2021,264.99,10897,288.69,264.99,SUU
8/10/2021,290.01,6652,264.99,290.01,SUU
8/11/2021,283.86,15874,290.01,283.86,SUU
8/12/2021,279.84,22194,283.86,279.84,SUU
8/13/2021,278.12,13704,279.84,278.12,SUU
8/16/2021,276.93,8403,278.12,276.93,SUU
8/17/2021,275,9464,276.93,275,SUU
8/18/2021,267.34,3738,275,267.34,SUU
8/19/2021,263.57,3813,267.34,263.57,SUU
8/20/2021,255.6,5982,263.57,255.6,SUU
8/23/2021,255.12,5721,255.6,255.12,SUU
8/24/2021,269.41,39820,255.12,269.41,SUU
8/25/2021,277.33,10409,269.41,277.33,SUU
8/26/2021,288.15,12026,277.33,288.15,SUU
8/27/2021,294.16,11546,288.15,294.16,SUU
8/30/2021,294.77,14770,294.16,294.77,SUU
8/31/2021,300.7,58054,294.77,300.7,SUU
9/1/2021,301.12,58040,300.7,301.12,SUU
9/2/2021,325.88,48950,301.12,325.88,SUU
9/3/2021,325.51,31728,325.88,325.51,SUU
9/6/2021,324.21,66516,325.51,324.21,SUU
9/7/2021,355.93,25028,324.21,355.93,SUU
9/8/2021,363.89,32106,355.93,363.89,SUU
9/9/2021,404.83,59454,363.89,404.83,SUU
9/10/2021,415.64,52581,404.83,415.64,SUU
9/13/2021,409.62,79534,415.64,409.62,SUU
9/14/2021,409.99,57791,409.62,409.99,SUU
9/15/2021,410.78,23545,409.99,410.78,SUU
9/16/2021,408.89,11721,410.78,408.89,SUU
9/17/2021,408.6,24662,408.89,408.6,SUU
9/20/2021,409.25,8400,408.6,409.25,SUU
9/21/2021,410.63,19720,409.25,410.63,SUU
9/22/2021,416.55,13686,410.63,416.55,SUU
9/23/2021,419.95,10517,416.55,419.95,SUU
9/24/2021,420,11223,419.95,420,SUU
9/27/2021,418.5,21516,420,418.5,SUU
9/28/2021,415.48,9838,418.5,415.48,SUU
9/29/2021,418.19,7387,415.48,418.19,SUU
9/30/2021,416.93,24566,418.19,416.93,SUU
10/1/2021,417,1605,416.93,417,SUU
10/4/2021,410,39566,417,410,SUU
10/5/2021,383.8,19134,410,383.8,SUU
10/6/2021,368.03,11935,383.8,368.03,SUU
10/7/2021,381,4867,368.03,381,SUU
10/8/2021,400.58,5461,381,400.58,SUU
10/11/2021,390.52,7216,400.58,390.52,SUU
10/12/2021,400,24624,390.52,400,SUU
10/13/2021,393.42,6325,400,393.42,SUU
10/14/2021,395.53,11854,393.42,395.53,SUU
10/15/2021,399,2755,395.53,399,SUU
10/18/2021,399.75,5769,399,399.75,SUU
10/19/2021,401.49,12155,399.75,401.49,SUU
10/20/2021,401.23,1080,401.49,401.23,SUU
10/21/2021,403.11,2849,401.23,403.11,SUU
10/22/2021,404.73,7743,403.11,404.73,SUU
10/25/2021,402.99,24498,404.73,402.99,SUU
10/26/2021,404.15,6611,402.99,404.15,SUU
10/27/2021,402.71,9339,404.15,402.71,SUU
10/28/2021,402.99,8060,402.71,402.99,SUU
10/29/2021,404,2450,402.99,404,SUU
11/1/2021,403.32,2405,404,403.32,SUU
11/2/2021,400.12,43088,403.32,400.12,SUU
11/3/2021,403.76,11640,400.12,403.76,SUU
11/4/2021,403,5782,403.76,403,SUU
11/8/2021,404,5534,403,404,SUU
11/9/2021,404,1446,404,404,SUU
11/10/2021,402.25,4731,404,402.25,SUU
11/11/2021,403.92,967,402.25,403.92,SUU
11/12/2021,404.5,6312,403.92,404.5,SUU
11/15/2021,403.99,18561,404.5,403.99,SUU
11/16/2021,403.72,5830,403.99,403.72,SUU
11/17/2021,404,16525,403.72,404,SUU
11/18/2021,402.4,2143,404,402.4,SUU
11/19/2021,404.09,9721,402.4,404.09,SUU
11/22/2021,404.41,6390,404.09,404.41,SUU
11/23/2021,403.2,823,404.41,403.2,SUU
11/24/2021,402.95,7119,403.2,402.95,SUU
11/25/2021,404.9,9229,402.95,404.9,SUU
11/29/2021,404.94,10068,404.9,404.94,SUU
11/30/2021,404.9,11522,404.94,404.9,SUU
12/1/2021,404.94,9377,404.9,404.94,SUU
12/2/2021,404.9,3576,404.94,404.9,SUU
12/3/2021,404,5973,404.9,404,SUU
12/6/2021,400.91,6239,404,400.91,SUU
12/7/2021,402,3141,400.91,402,SUU
12/8/2021,402.01,18424,402,402.01,SUU
12/9/2021,404.01,16420,402.01,404.01,SUU
